,Pc,Pt,mox,Mox,Vox,mf,Mf,Df,Gox,r,Dt,Pe,CF,cstr,of,F,I
0.58,2920210.917950651,4818477.661782464,3.510959066726859,1.9323512869817245,0.02473198205753318,0.5065410147355802,0.27725359624136486,0.10357821337538531,416.67654425610687,0.003163961753206408,0.0445,98175.86917586744,1.4870018351016898,1130.4941735216214,6.931242560413044,6702.303347548158,3662.288526591948
0.59,2918899.028304407,4815347.966295955,3.5092775943400327,1.9734524150766888,0.02468374129685834,0.5064197036186255,0.2831529967673562,0.10365188496597846,415.88516927845546,0.003160955740265101,0.0445,98127.08228574546,1.4869126683529308,1130.4935936662955,6.929582604415968,6698.890655308831,3742.092799821933
0.6,2917586.804730297,4812218.2708094455,3.50759562492873,2.002536837211777,0.024649604651159878,0.5062983275639382,0.2873819900972783,0.1037046643403645,415.26282874705606,0.0031585897898663605,0.0445,98078.27346841386,1.4868233806593076,1130.4930422043458,6.927921759750124,6695.4770132098865,3796.266336531926
0.61,2916274.251816977,4809088.575322936,3.5059131535171626,2.0436043258977823,0.024601403373359403,0.5061768861656069,0.2932789631004846,0.10377821589699822,414.4755074447052,0.0031555940908740217,0.0445,98029.4430401627,1.4867339724147266,1130.4925224734964,6.926260020846548,6692.06243442703,3876.002336974831
0.62,2914961.3739504972,4805958.879836427,3.5042301753071348,2.072655098592792,0.024567306222308922,0.5060553790301283,0.2975055276014666,0.10383090078672619,413.85623278536616,0.003153235797188092,0.0445,97980.59131702526,1.4866444440142519,1130.4920376855102,6.92459738230559,6688.646931670928,3930.1075821405557
0.63,2913648.175287657,4802829.184349918,3.502546685703194,2.113688927695449,0.02451914445106167,0.505933805778239,0.30340007046038314,0.1039043327203801,413.0729308621731,0.003150250333539179,0.0445,97931.718615114,1.4865547958547811,1130.49159090795,6.922933838921983,6685.230517129219,4009.7752725791206
0.64,2912334.6597285112,4799699.488863409,3.500862680338594,2.1427060305876537,0.02448508681855908,0.5058121660468065,0.30762420349543285,0.10395692343049419,412.4566957844655,0.0031478996356653086,0.0445,97882.82525101479,1.4864650283358138,1130.4911850453336,6.921269385710724,6681.81320240703,4063.812189482538
0.65,2911020.8308880865,4796569.793376899,3.4991781551020775,2.183706179565889,0.0244369645779743,0.5056904594907845,0.313516313558283,0.10403023614903166,411.67737950767514,0.0031449243301980884,0.0445,97833.91154224209,1.4863751418603508,1130.4908228196773,6.919604017933809,6678.394998466261,4143.411533672334
0.66,2909706.6920673195,4793440.09789039,3.4974931061654813,2.2126895919440286,0.024402946488328595,0.5055686857852288,0.31773801246141675,0.10408273298216643,411.0641582225358,0.003142581168609082,0.0445,97784.97780775615,1.4862851368358947,1130.490506750427,6.917937731127838,6674.975915563569,4197.38008652199
0.67,2908392.246223137,4790310.402403881,3.4958075300121743,2.253656039928879,0.024354863802900365,0.5054468446273769,0.3236276870488943,0.10415592689039578,410.28879446549536,0.003139615945785969,0.0445,97736.02436853958,1.4861950136755826,1130.4902391337625,6.916270521132442,6671.555963186979,4276.911049093266
0.68,2907077.4959377963,4787180.706917372,3.494121423466322,2.282605740776297,0.024320885280778984,0.5053249357387908,0.3278469491281952,0.10420833014683481,409.6785617304506,0.003137280262516257,0.0445,97687.0515482367,1.4861047727994128,1130.4900220212849,6.91460238411964,6668.135149991244,4330.811202916333
0.6900000000000001,2905762.4433873375,4784051.011430863,3.4924347837230076,2.3235384666185435,0.024272842175330336,0.5052029588675641,0.3337341855368514,0.10428140564657805,408.90711801773693,0.0031343250486151127,0.0445,97638.05967385322,1.4860144146356011,1130.489857198065,6.912933316624,6664.7134837317535,4410.273749256007
0.7000000000000001,2904447.090309286,4780921.315944353,3.490747608379175,2.352454434665422,0.02423890324569785,0.5050809137905928,0.337951008078194,0.10433371562432028,408.2998491845567,0.0031319967874598744,0.0445,97589.04907651969,1.4859239396220565,1130.4897461600665,6.911263315573734,6661.290971197252,4464.105469770052
0.71,2903131.4379695095,4777791.620457845,3.4890598954654433,2.393353416992586,0.024190899745313854,0.5049588003159121,0.34383580358451094,0.10440667311448974,407.53229373951314,0.0031290515107763573,0.0445,97540.02009231687,1.4858333482079678,1130.489690090924,6.90959237832266,6657.867618141168,4543.4995658830085
0.72,2901815.4871282307,4774661.924971335,3.4873716434787694,2.422235630777821,0.024157000433359353,0.5048366182850967,0.34805018385599173,0.10445889010932412,406.9279648042936,0.0031267306175017944,0.0445,97490.97306316372,1.4857426408555088,1130.4896898380748,6.907920502683049,6654.443429211507,4597.26281934663
0.73,2900499.238005273,4771532.229484826,3.485682851415969,2.4631008480610714,0.02410903656330859,0.5047143675757295,0.35393253572118233,0.1045317299860074,406.1642665989745,0.003123795208562873,0.0445,97441.90833776994,1.4856518180416787,1130.4897458882504,6.906247686959395,6651.018407879614,4676.588431695458
0.74,2899182.6900841645,4768402.533998316,3.4839935188946454,2.491949286004612,0.024075176894360773,0.5045920481102013,0.35814447097831914,0.10458385429159602,405.56285426472476,0.0031214816311665224,0.0445,97392.82626573052,1.485560880247365,1130.4898582798048,6.904573929983093,6647.592555942289,4730.283184735537
0.75,2897865.8403053195,4765272.838511808,3.4823036472923627,2.5327807166431757,0.024027252679996263,0.5044696599382794,0.3640243764544065,0.10465657694815153,404.8029832407786,0.003118556023604467,0.0445,97343.72711899651,1.4854698278110023,1130.4900257793292,6.902899231496031,6644.165868725081,4809.540280026142
0.76,2896548.6853750176,4762143.143025298,3.4806132394356037,2.561595357162944,0.023993432679386206,0.5043472032147271,0.3682338639485793,0.10470860885614598,404.2044655046686,0.0031162497146008153,0.0445,97294.61117818706,1.4853786610881357,1130.490246104442,6.901223594352686,6640.738341092526,4863.166499308654
0.77,2895231.220974388,4759013.447538789,3.478922298763306,2.6023929796587018,0.023945548145940482,0.5042246781388132,0.37411132029102595,0.10478121468338636,403.44839317079396,0.003113333847490231,0.0445,97245.47871181797,1.4852873804132367,1130.4905165286502,6.899547021539151,6637.309965464128,4942.355044015023
0.78,2893913.439902645,4755883.75205228,3.4772308304290633,2.631173801379337,0.023911767838756637,0.5041020850342617,0.37831835728459345,0.10483315448364229,402.85274937303825,0.0031110347641399388,0.0445,97196.32995190442,1.4851959860561925,1130.4908330841024,6.897869516404207,6633.880727364575,4995.912695743033
0.79,2892595.33323204,4752754.056565771,3.475538842115933,2.671937594540423,0.02386392301110278,0.503979424408479,0.38419336176706326,0.10490564387003515,402.10044879601423,0.003108128582012694,0.0445,97147.16516499009,1.485104478355262,1130.4911899698795,6.896191086047097,6630.450608667434,5075.0326556118835
0.8,2891276.8922834904,4749624.361079262,3.473846342013977,2.7006845765156933,0.023830182421929927,0.5038566968061079,0.38839794554950774,0.10495749185082069,401.50766008724474,0.003105836688172135,0.0445,97097.98464116859,1.4850128576926716,1130.4915810138978,6.894511739063674,6627.019592015074,5128.521704923198
0.81,2889958.107268864,4746494.665592752,3.472153338546856,2.7414145197098385,0.023782377324284218,0.5037339027892392,0.39427049548227217,0.1050298651827534,400.7591058817712,0.003102940141029078,0.0445,97048.78863178617,1.4849211243780207,1130.4919998710964,6.892831483171626,6623.587657186188,5207.573044374745
0.8200000000000001,2888638.9682111465,4743364.970106243,3.47045984033062,2.7701276416374667,0.023748676476951322,0.5036110429344455,0.3984726233858328,0.10508162163097201,400.16915417370467,0.003100655403140319,0.0445,96999.57738161294,1.4848292787079171,1130.4924400523048,6.891150326286055,6620.154783472045,5260.993454937304
0.8300000000000001,2887319.464987,4740235.274619734,3.468765856134368,2.810823714903825,0.023700911132741982,0.5034881178299427,0.40434271612395223,0.10515387929286649,399.4243214336104,0.0030977684423537035,0.0445,96950.35112833254,1.4847373209648733,1130.4928949525668,6.889468276480671,6616.720949769384,5339.976136826638
0.84,2885999.587368047,4737105.579133225,3.4670713948419705,2.839502957169833,0.023667250050270143,0.5033651280728284,0.4085423855269229,0.10520554449410087,398.8371889809003,0.003095490827843967,0.0445,96901.11010202988,1.4846452514161914,1130.4933578787243,6.887785341949966,6613.286134670303,5393.327870661369
0.85,2884679.325060893,4733975.883646715,3.465376465414864,2.8801651412476827,0.02361952448210365,0.5032420742663903,0.4144100184724137,0.10527768686845501,398.09605317386007,0.0030926134057625097,0.0445,96851.85452468137,1.484553070312879,1130.4938220762558,6.886101530972418,6609.850316549408,5472.241856158616
0.86,2883358.6677458733,4730846.188160206,3.463681076855928,2.9088104849476912,0.023585903186681106,0.5031189570174913,0.41860722680077583,0.10532926110700065,397.5117224995358,0.0030903428827642,0.0445,96802.5846096461,1.4844607778885683,1130.4942807553628,6.884416851874686,6606.413473647981,5525.524873576423
0.87,2882037.6051145596,4727716.492673697,3.46198523817444,2.9494387612919004,0.023538217416324052,0.5029957769340296,0.4244723974038216,0.10540128857442188,396.77425939420556,0.003087474952440228,0.0445,96753.30056115852,1.484368374358438,1130.4947271162987,6.882731312996859,6602.975584155344,5604.370122124763
0.88,2880716.126905936,4724586.797187188,3.4602889583521357,2.9780501882407107,0.023504635929294932,0.502872534622474,0.42866714213202944,0.1054527721333099,396.1927132202476,0.0030852114895281407,0.0445,96704.00257382084,1.4842758599181416,1130.4951543739312,6.881044922658712,6599.536626287163,5657.584381698278
0.89,2879394.2229413614,4721457.1017006785,3.458592246310354,3.0186445390256464,0.023456989977669422,0.502749230685475,0.4345298478913551,0.105524685072538,395.4588988184909,0.003082353004461728,0.0445,96654.69083209908,1.4841832347427526,1130.495555781543,6.879357689127048,6596.096578361032,5736.360850998912
0.9,2878071.883158194,4718327.406214169,3.4568951108782935,3.047222031755617,0.023423448319535654,0.5026258657195528,0.4387221265423092,0.10557607823354782,394.8801200014095,0.003080096570407146,0.0445,96605.36550982055,1.4840904989857244,1130.4959246538533,6.877669620584022,6592.655418869041,5789.506309560279
0.91,2876749.0976421973,4715197.71072766,3.4551975607623833,3.087782439868188,0.023375842206727473,0.5025024403128638,0.4445823650047671,0.10564787702146804,394.1499304755654,0.003077247484307276,0.0445,96556.02676967306,1.4839976527778362,1130.496254389259,6.87598072509662,6589.213126547478,5868.213955582474
0.92,2875425.8566585775,4712068.015241151,3.453499604516773,3.116325981617099,0.023342340397163024,0.5023789550430445,0.4487721751490227,0.10569918006513059,393.5739019469424,0.003074998047849021,0.0445,96506.67476270575,1.4839046962261708,1130.496538491289,6.874291010587107,6585.769680443526,5921.290568245287
0.93,2874102.150681797,4708938.3197546415,3.4518012505149427,3.1568524306396473,0.023294774142441722,0.5022554104751339,0.4546299439084385,0.10577086507677745,392.8473135820974,0.0030721583144118552,0.0445,96457.30962783353,1.4838116294130963,1130.496770589269,6.872600484804618,6582.325059979139,5999.929345259662
0.9400000000000001,2872777.9704240602,4705808.624268132,3.450102506922458,3.1853620053287623,0.023261312200318348,0.5021318071595753,0.4588172831626999,0.1058220782823695,392.27401829405767,0.003069915844044383,0.0445,96407.93149134394,1.4837184523952456,1130.4969444581825,6.870909155297818,6578.8792450118835,6052.937065463194
0.9500000000000001,2871453.306862522,4702678.928781623,3.4484033816708535,3.2258544795125093,0.02321378582216841,0.5020081456302993,0.4646725798580293,0.10589364989092212,391.55100743527964,0.0030670854167487074,0.0445,96358.54046640688,1.4836251652025279,1130.4970540377337,6.8692170293886585,6575.432215892965,6131.506926096353
0.96,2870128.151265163,4699549.233295114,3.446703882432678,3.254330071715557,0.023180363765592064,0.501884426402886,0.46885744588297873,0.10594477353645253,390.9804283108565,0.00306484988052732,0.0445,96309.13665258639,1.4835317678371238,1130.4970934505877,6.867524114147239,6571.983953522128,6184.445705670213
0.97,2868802.4952153796,4696419.537808605,3.4450040165976867,3.2947885559453316,0.0231328772817543,0.50176064997281,0.47471026819582435,0.10601623211322206,390.2609713153543,0.0030620287124472536,0.0445,96259.72013535758,1.483438260272517,1130.4970570198038,6.865830416367759,6568.534439399747,6262.946600978875
0.98,2867476.330635273,4693289.842322095,3.443303791250203,3.323230150849136,0.02309949512811134,0.5016368168137669,0.47889265869333836,0.10606726647541052,389.69309120372003,0.003059800077810538,0.0445,96210.2909856259,1.4833446424525187,1130.4969392840053,6.8641359425456505,6565.083655675924,6315.816390226203
0.99,2866149.649807576,4690160.146835586,3.4416032131476553,3.3636546306001165,0.023052048555633663,0.5015129273760828,0.4847430043448795,0.10613861238982042,388.9771643978973,0.0030569881214455976,0.0445,96160.84925924992,1.4832509142903039,1130.4967350202983,6.862440698855783,6561.631585196493,6394.248269788913
1.0,2864822.4453963414,4687030.451349077,3.4399022887002895,3.3920622139576064,0.023018706321645998,0.5013889820852078,0.4889229170546827,0.10618955774406953,388.41196603443154,0.0030547663550551975,0.0445,96111.39499656913,1.4831570756674661,1130.4964392449033,6.860744691131889,6558.178211546256,6447.049017586231
1.01,2863494.710466198,4683900.755862568,3.4382010239520784,3.432452675244823,0.022971299676942693,0.5012649813402944,0.49477078380206946,0.10626079136362951,387.6995456758037,0.003051963562177829,0.0445,96061.92822193464,1.483063126433082,1130.4960472415373,6.859047924847037,6554.723519089007,6525.4118296107845
1.02,2862166.4385003736,4680771.060376058,3.4364994245628235,3.460826233321178,0.02293799737873101,0.5011409255128598,0.4989482164978802,0.1063116479839907,387.137011646977,0.0030497486297756775,0.0445,96012.44894324482,1.4829690664027755,1130.4955545674932,6.857350405095386,6551.26749300469,6578.143483522587
1.03,2860837.6234173304,4677641.364889549,3.4347974957914738,3.5011826626425218,0.02289063067764962,0.5010168149455356,0.5047936021301459,0.10638276967426481,386.4280738909271,0.00304695495129638,0.0445,95962.9571514856,1.4828748953578017,1130.494957067433,6.855652136575052,6547.8101193234925,6656.437174967247
1.04,2859508.2595860753,4674511.66940304,3.4330952424806513,3.529522182155209,0.02285736833080374,0.5008926499509039,0.5089685526153666,0.106433537833399,385.86818660397876,0.0030447468175795155,0.0445,95913.45282027626,1.4827806130441579,1130.4942508848878,6.853953123572177,6544.351384956999,6709.09968137344
1.05,2858178.341840094,4671381.973916531,3.4313926690424106,3.56984456642872,0.022810041588698683,0.5007684308104208,0.5148114549489125,0.10650454795796867,385.16270747532974,0.0030419622034296868,0.0445,95863.93590541686,1.4826862191716617,1130.4934324728738,6.852253369946171,6540.89127772607,6787.324198080023
1.06,2856847.8654900035,4668252.278430021,3.429689779445234,3.5981500344821944,0.02277681920835423,0.5006441577734295,0.5189839210519199,0.1065552279271021,384.60544913272497,0.0030397608319428218,0.0445,95814.40634444602,1.4825917134130937,1130.492498603624,6.850552879116246,6537.429786386048,6839.917502314264
